limit_cgroup,vm_view_mem_total,vm_view_mem_available,vm_view_memory_used,host_view_vm_memory_used,host_view_vm_current_swap,vm_view_response_time,icmp_response_time,bw_down,bw_up
2147483648.0,2058121216.0,1676042240.0,382078976.0,1589039104.0,958840832.0,26.038999999999998,2.1844804286956787,6.980538368225098,0.35824549198150635
2013265920.0,2058121216.0,1663918080.0,394203136.0,1594933248.0,958316544.0,25.648125,1.5999376773834229,7.0697526931762695,0.365994930267334
2013265920.0,2058121216.0,1661816832.0,396304384.0,1603108864.0,956743680.0,26.76425,2.823740243911743,7.356027007102966,0.3716238737106323
1879048192.0,2058121216.0,1658785792.0,399335424.0,1631703040.0,950198272.0,28.54714285714286,2.029861722673689,7.870715005057199,0.39820521218436106
1879048192.0,2058121216.0,1663918080.0,394203136.0,1639550976.0,949673984.0,28.358,1.2620857783726283,7.3137296949114114,0.4357272556849888
1744830464.0,2058121216.0,1668743168.0,389378048.0,1712558080.0,948363264.0,25.05611111111111,1.7022026909722223,7.579934332105848,0.3590070936414931
1744830464.0,2058121216.0,1669550080.0,388571136.0,1744564224.0,938926080.0,29.768285714285714,1.495633806501116,7.820235933576312,0.39395155225481304
1610612736.0,2058121216.0,1671258112.0,386863104.0,1543991296.0,927391744.0,28.39042857142857,1.8114362444196428,7.861323765345982,0.3964590345110212
1610612736.0,2058121216.0,1670246400.0,387874816.0,1607995392.0,916647936.0,30.592285714285715,3.496340342930385,7.534354618617466,0.4102701459612165
1476395008.0,2058121216.0,1693597696.0,364523520.0,1445638144.0,881848320.0,27.701624999999996,1.5188157558441162,7.902181386947632,0.40955352783203125
1476395008.0,2058121216.0,1664155648.0,393965568.0,1475743744.0,873459712.0,28.34585714285714,1.2885161808558874,7.348688125610352,0.41214561462402344
1342177280.0,2058121216.0,1661714432.0,396406784.0,1251987456.0,855330816.0,29.560142857142857,2.1247523171561107,7.931158202035086,0.42336041586739676
1342177280.0,2058121216.0,1662558208.0,395563008.0,1319804928.0,850612224.0,28.123874999999998,1.15281343460083,7.934020400047302,0.411452054977417
1207959552.0,2058121216.0,1663787008.0,394334208.0,1159663616.0,868036608.0,30.199,2.1902833666120256,7.464529037475586,0.4220626013619559
1207959552.0,2058121216.0,1677934592.0,380186624.0,1207791616.0,867774464.0,28.594,2.0610604967389787,7.760393278939383,0.4240469251360212
1207959552.0,2058121216.0,1664663552.0,393457664.0,1207877632.0,882860032.0,26.426,1.4046132564544678,7.257542848587036,0.40538763999938965
1073741824.0,2058121216.0,1667350528.0,390770688.0,1060069376.0,981643264.0,28.804571428571425,1.2070451463971819,7.113745825631278,0.4143232618059431
1073741824.0,2058121216.0,1669402624.0,388718592.0,1073696768.0,991494144.0,27.044000000000004,1.3894736766815186,7.149719834327698,0.4069012403488159
939524096.0,2058121216.0,1661104128.0,397017088.0,874262528.0,1210937344.0,30.880857142857142,2.8451510838099887,7.320462363106864,0.4076006753104074
939524096.0,2058121216.0,1685843968.0,372277248.0,939503616.0,1209626624.0,29.524875,2.1487772464752197,7.098732948303223,0.4465447664260864
2147483648.0,2058121216.0,1404608512.0,653512704.0,1243246592.0,1445367808.0,60.067,1.4348030090332031,18.032039642333984,0.7289938926696777
2147483648.0,2058121216.0,1388908544.0,669212672.0,1274777600.0,1425444864.0,62.314,2.1042823791503906,19.66473388671875,0.7657928466796875
2147483648.0,2058121216.0,1341005824.0,717115392.0,1331736576.0,1393201152.0,53.6715,0.8552074432373047,17.71300745010376,0.6847038269042969
2147483648.0,2058121216.0,1295073280.0,763047936.0,1373949952.0,1369608192.0,43.3685,1.265406608581543,13.473322868347168,0.5516252517700195
2147483648.0,2058121216.0,1232117760.0,826003456.0,1426464768.0,1345490944.0,44.4915,1.865983009338379,12.489844799041748,0.5437140464782715
2147483648.0,2058121216.0,1198485504.0,859635712.0,1459855360.0,1323732992.0,62.119,10.325431823730469,18.294239044189453,0.7323884963989258
